Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,Month,VisitorType,Weekend,Revenue
0,0,0,0,0,0,0.0167646063200393,0.0850034305508038,3.19173092017821,0,2,1,1,1,Nov,Returning_Visitor,False,False
3,140.433149959302,0,121.793138289558,55,2333.18735792559,0,0.0346817775669453,0,0.221185940874908,3,3,3,5,Dec,Returning_Visitor,False,False
2,169.06301239136,1,72.6970274638018,23,1448.42694746761,0.0684932346031193,0.0753686948800883,0,0,2,2,2,12,Sep,Returning_Visitor,False,False
4,129.698301292369,1,118.581520841369,53,1238.76075489613,0.0243359559913605,0.0493390157267082,14.4768240712074,0.124414609680399,1,1,4,8,May,New_Visitor,False,False
2,214.526080624725,2,235.043689421955,37,297.590433323726,0.00151664249677026,0.0186614406947143,37.2705465665218,0.0718825887506447,3,4,5,9,Nov,Returning_Visitor,False,True
0,0,0,63.5270949264412,0,1991.36831000146,0.125033899714424,0.129004570030535,0,0.240030073579023,2,3,5,1,Dec,Returning_Visitor,False,False
0,97.032000870169,1,92.2476082134431,39,2027.161772994,0.0404596882718571,0.0727534546038892,0,0.00590573268235986,2,2,3,3,May,New_Visitor,False,False
0,0,0,43.2109121506371,68,3463.84431294397,0,0,0,0.330874179516119,4,5,3,2,Feb,Returning_Visitor,False,False
0,0,0,156.180305378384,0,0,0.10529997448176,0.139155283777767,1.13581513677755,0.013425483273104,3,2,5,6,Nov,Returning_Visitor,False,False
0,0,0,45.0132324904883,41,2059.95230703952,0.0405397214578906,0.0486685321426993,0,0.0481156516358417,2,1,3,1,Nov,Returning_Visitor,False,False
0,19.5462205482327,0,74.5114836563687,11,466.174828157671,0.103601665158908,0.111789627451656,4.73526031830643,0.109087280933517,2,5,6,4,Mar,Returning_Visitor,False,False
6,238.137862643732,0,0,39,1742.54106000655,0,0.018508424565895,3.88349874212842,0.259954526121031,1,2,9,6,Sep,Returning_Visitor,False,False
0,38.3032036732682,0,0,59,2561.04306226491,0,0,6.59571108418227,0.0249992639046839,2,2,2,6,Mar,New_Visitor,False,False
5,85.7847170128478,1,25.1295195951285,0,0,0.0021606592459682,0.00207219000504798,3.99659560426493,0,2,1,2,5,May,Returning_Visitor,False,False
3,191.690238010651,1,0,16,2164.53504097038,0,0,0.655685549000073,0.0872494059272476,1,1,4,1,Mar,Returning_Visitor,True,False
8,0,2,78.8989430386459,39,1692.64948928486,0.072935963341356,0.106626199308893,8.43054523243376,0,1,2,6,6,Nov,Returning_Visitor,False,False
7,99.3892570626928,4,242.449109716475,0,0,0,0.00123970739665711,0,0.161902988299603,2,6,6,6,Dec,New_Visitor,True,True
3,143.328022929933,0,0,61,2734.07234593909,0,0,0,0.0496753354618949,2,1,2,5,Aug,Returning_Visitor,False,False
2,0,1,16.6176942255758,0,0,0.0536705010544827,0.0801661655638942,5.15486489950105,0.196796230993583,2,1,1,2,May,New_Visitor,True,False
3,347.767699482553,3,103.684914981757,115,4295.36894809745,0.0152872852635308,0.028830463029688,6.57702028290642,0,2,1,4,6,Dec,Returning_Visitor,False,False
0,0,1,38.8146704878708,0,1384.3500558952,0.0109097891370776,0.0796502115598295,13.7100777527234,0,3,3,1,1,Dec,Returning_Visitor,True,False
3,8.09009891562756,0,61.9607748033401,115,5753.82850902394,0,0,0,0.119104746441113,2,1,6,10,Nov,Returning_Visitor,False,False
3,268.188317487016,2,270.82250908633,42,1958.89644981254,0.0882808728854826,0.13450979820509,0,0,1,1,2,9,Oct,Returning_Visitor,False,False
0,0,1,129.965530140157,19,0,0.0253141232079445,0.0549350699664667,9.74924912721522,0.44898506041709,5,3,4,8,May,Returning_Visitor,True,False
0,21.969161360565,0,22.0807505243304,56,1865.27117365519,0.0957831100800483,0.07076973075584,4.79827992266319,0.144757232397392,3,4,1,6,Dec,Returning_Visitor,False,False
0,0,0,0,56,2238.61039008211,0,0,2.36949481064241,0.210956922935071,1,1,1,6,Nov,Returning_Visitor,False,False
0,0,0,11.2982161693872,5,1034.78350352846,0.179562042209561,0.2,3.59083443883604,0.128443618742056,3,3,6,2,Dec,Returning_Visitor,True,False
3,59.4255136691954,2,75.1217145357022,0,639.114123959221,0.067411429346474,0.0765353080601225,0,0,2,1,2,3,Dec,Returning_Visitor,False,False
1,0,0,59.2128406297366,11,944.32042429666,0,0,73.2209272873288,0,3,3,2,15,Nov,Returning_Visitor,True,True
6,287.904594193076,2,288.385503426868,78,5025.21485175067,0.00243569412841733,0.0276134499830032,14.6383501318858,0.0126110472317255,2,4,1,3,Mar,Returning_Visitor,False,True
5,0,1,0,56,4329.57837707472,0.0902188263420163,0.113004808492047,10.6408837025116,0,2,3,6,3,May,Returning_Visitor,False,False
0,0,0,36.8589486694025,37,1334.77866272641,0,0.0131911459191477,1.50139792547689,0,3,1,6,6,May,Returning_Visitor,True,False
